Cluster	Celltype (malignancy)	Celltype (major-lineage)	Celltype (minor-lineage)	Gene	log2FC	Percentage (%)	Adjusted p-value
0	Immune cells	Mono/Macro	Monocyte	S100A9	2.2	100.0	5.13e-119
0	Immune cells	Mono/Macro	Monocyte	S100A12	2.02	98.2	8.4e-119
0	Immune cells	Mono/Macro	Monocyte	S100A8	2.27	100.0	1.14e-117
0	Immune cells	Mono/Macro	Monocyte	RP11-1143G9.4	1.67	100.0	4.75e-110
0	Immune cells	Mono/Macro	Monocyte	S100A6	1.24	100.0	7.01e-107
0	Immune cells	Mono/Macro	Monocyte	VCAN	1.59	94.3	5.02e-104
0	Immune cells	Mono/Macro	Monocyte	LYZ	1.6	100.0	4.89e-99
0	Immune cells	Mono/Macro	Monocyte	MNDA	1.44	94.0	3.7e-97
0	Immune cells	Mono/Macro	Monocyte	FCN1	1.39	95.4	9.64e-95
0	Immune cells	Mono/Macro	Monocyte	TYROBP	1.23	100.0	1.36e-86
0	Immune cells	Mono/Macro	Monocyte	FTL	1.15	100.0	9.6e-86
0	Immune cells	Mono/Macro	Monocyte	CTSS	1.24	99.6	3.69e-83
0	Immune cells	Mono/Macro	Monocyte	CSTA	1.21	87.9	4.61e-80
0	Immune cells	Mono/Macro	Monocyte	TSPO	1.16	96.4	7.73e-80
0	Immune cells	Mono/Macro	Monocyte	RGS2	1.29	82.2	3.77e-73
0	Immune cells	Mono/Macro	Monocyte	LGALS1	1.11	98.2	1.56e-72
0	Immune cells	Mono/Macro	Monocyte	TKT	1.12	90.7	8.06e-72
0	Immune cells	Mono/Macro	Monocyte	LST1	1.04	95.4	2.8e-68
0	Immune cells	Mono/Macro	Monocyte	GAPDH	0.8	99.6	3.49e-68
0	Immune cells	Mono/Macro	Monocyte	CST3	1.06	98.2	1.6e-67
0	Immune cells	Mono/Macro	Monocyte	NCF1	1.2	85.1	2.53e-66
0	Immune cells	Mono/Macro	Monocyte	AIF1	1.01	92.9	1.32e-64
0	Immune cells	Mono/Macro	Monocyte	GCA	1.17	74.7	1.63e-64
0	Immune cells	Mono/Macro	Monocyte	GRN	1.13	82.9	1.67e-64
0	Immune cells	Mono/Macro	Monocyte	RBP7	1.23	65.1	2.1e-64
0	Immune cells	Mono/Macro	Monocyte	PSAP	0.96	95.4	1.33e-62
0	Immune cells	Mono/Macro	Monocyte	PTPRCAP	-1.82	3.6	2.79e-62
0	Immune cells	Mono/Macro	Monocyte	S100A11	0.93	95.0	6.84e-62
0	Immune cells	Mono/Macro	Monocyte	S100A4	0.75	100.0	2.17e-60
0	Immune cells	Mono/Macro	Monocyte	CD14	1.05	70.1	6.33e-59
0	Immune cells	Mono/Macro	Monocyte	FCER1G	0.93	96.1	9.53e-58
0	Immune cells	Mono/Macro	Monocyte	RPSA	-1.09	77.9	9.41e-57
0	Immune cells	Mono/Macro	Monocyte	RPS27	-0.7	100.0	2.07e-56
0	Immune cells	Mono/Macro	Monocyte	RPL3	-0.81	96.8	1.51e-55
0	Immune cells	Mono/Macro	Monocyte	IL32	-2.2	9.6	6.01e-55
0	Immune cells	Mono/Macro	Monocyte	MS4A6A	0.93	80.1	6.51e-55
0	Immune cells	Mono/Macro	Monocyte	GPX1	0.62	98.2	8.44e-55
0	Immune cells	Mono/Macro	Monocyte	RPL23A	-0.79	98.9	8.66e-55
0	Immune cells	Mono/Macro	Monocyte	TMEM176B	0.98	69.8	1.75e-53
0	Immune cells	Mono/Macro	Monocyte	EVL	-1.32	8.9	2.25e-53
0	Immune cells	Mono/Macro	Monocyte	RPSAP58	-1.09	61.2	4.16e-53
0	Immune cells	Mono/Macro	Monocyte	MALAT1	-1.02	100.0	4.16e-53
0	Immune cells	Mono/Macro	Monocyte	RPS29	-0.74	99.6	2.16e-52
0	Immune cells	Mono/Macro	Monocyte	KCTD12	1.0	67.6	2.86e-52
0	Immune cells	Mono/Macro	Monocyte	H3F3A	0.59	99.3	1.35e-51
0	Immune cells	Mono/Macro	Monocyte	CYBB	1.01	71.9	3.04e-51
0	Immune cells	Mono/Macro	Monocyte	MT-CO3	0.46	100.0	5.62e-51
0	Immune cells	Mono/Macro	Monocyte	NUP214	1.0	70.5	8.28e-51
0	Immune cells	Mono/Macro	Monocyte	OAZ1	0.55	99.3	3.03e-50
0	Immune cells	Mono/Macro	Monocyte	FPR1	0.94	60.1	3.71e-50
0	Immune cells	Mono/Macro	Monocyte	STXBP2	1.11	77.6	4.94e-50
0	Immune cells	Mono/Macro	Monocyte	AP1S2	0.87	88.3	1.05e-49
0	Immune cells	Mono/Macro	Monocyte	VIM	0.76	97.2	2.81e-47
0	Immune cells	Mono/Macro	Monocyte	FGL2	0.85	78.6	4.38e-47
0	Immune cells	Mono/Macro	Monocyte	CD3D	-1.56	6.8	1.19e-46
0	Immune cells	Mono/Macro	Monocyte	PLBD1	1.08	54.8	2.12e-46
0	Immune cells	Mono/Macro	Monocyte	CD36	0.9	67.6	2.51e-45
0	Immune cells	Mono/Macro	Monocyte	B2M	-0.54	100.0	4.72e-45
0	Immune cells	Mono/Macro	Monocyte	FTH1	0.6	100.0	8.4e-45
0	Immune cells	Mono/Macro	Monocyte	CDA	0.85	53.7	9.79e-45
0	Immune cells	Mono/Macro	Monocyte	APLP2	0.92	67.3	1.02e-44
0	Immune cells	Mono/Macro	Monocyte	CCL5	-2.45	25.6	1.16e-44
0	Immune cells	Mono/Macro	Monocyte	PGD	0.91	58.4	5.37e-44
0	Immune cells	Mono/Macro	Monocyte	RPS3	-0.63	99.6	2.69e-43
0	Immune cells	Mono/Macro	Monocyte	ATP5E	0.51	99.3	3.63e-43
0	Immune cells	Mono/Macro	Monocyte	FOS	0.86	84.3	5.16e-43
0	Immune cells	Mono/Macro	Monocyte	RPS19	-0.67	99.3	6.99e-43
0	Immune cells	Mono/Macro	Monocyte	CD2	-1.46	5.0	2.17e-42
0	Immune cells	Mono/Macro	Monocyte	CFD	0.83	68.0	3.88e-42
0	Immune cells	Mono/Macro	Monocyte	EEF1A1	-0.49	100.0	6.32e-42
0	Immune cells	Mono/Macro	Monocyte	CTSD	0.9	81.9	7.55e-42
0	Immune cells	Mono/Macro	Monocyte	DUSP1	0.79	84.7	1.06e-41
0	Immune cells	Mono/Macro	Monocyte	MPEG1	0.87	66.5	1.7e-41
0	Immune cells	Mono/Macro	Monocyte	CYP1B1	0.94	46.3	3.03e-40
0	Immune cells	Mono/Macro	Monocyte	TYMP	0.8	79.7	3.41e-40
0	Immune cells	Mono/Macro	Monocyte	C14orf2	0.69	91.1	1.28e-39
0	Immune cells	Mono/Macro	Monocyte	CD3E	-1.33	3.6	3.94e-39
0	Immune cells	Mono/Macro	Monocyte	SPI1	0.82	66.2	5.46e-39
0	Immune cells	Mono/Macro	Monocyte	CSF3R	0.85	57.3	1.04e-38
0	Immune cells	Mono/Macro	Monocyte	LTA4H	0.89	71.9	1.59e-38
0	Immune cells	Mono/Macro	Monocyte	MT-ND3	0.45	100.0	2.97e-38
0	Immune cells	Mono/Macro	Monocyte	CYBA	0.58	98.6	8.89e-38
0	Immune cells	Mono/Macro	Monocyte	SERPINA1	0.82	64.1	8.89e-38
0	Immune cells	Mono/Macro	Monocyte	CLEC4E	0.85	49.8	2.28e-37
0	Immune cells	Mono/Macro	Monocyte	MGST1	0.89	49.8	2.87e-37
0	Immune cells	Mono/Macro	Monocyte	CTSW	-1.47	3.2	5.4e-37
0	Immune cells	Mono/Macro	Monocyte	TNFSF13B	0.9	59.4	1.64e-36
0	Immune cells	Mono/Macro	Monocyte	QPCT	0.79	39.1	2.13e-36
0	Immune cells	Mono/Macro	Monocyte	SAT1	0.51	93.2	2.32e-36
0	Immune cells	Mono/Macro	Monocyte	RPS25	-0.57	97.5	8e-36
0	Immune cells	Mono/Macro	Monocyte	NKG7	-2.59	18.5	1.11e-35
0	Immune cells	Mono/Macro	Monocyte	RPS18	-0.51	99.3	2.23e-35
0	Immune cells	Mono/Macro	Monocyte	HSPA8	-0.94	34.2	3.11e-35
0	Immune cells	Mono/Macro	Monocyte	CFP	0.81	64.1	4.02e-35
0	Immune cells	Mono/Macro	Monocyte	RPL10A	-0.6	90.0	4.02e-35
0	Immune cells	Mono/Macro	Monocyte	MSRB1	0.88	50.5	7.64e-35
0	Immune cells	Mono/Macro	Monocyte	RPS27A	-0.41	98.9	1.67e-34
0	Immune cells	Mono/Macro	Monocyte	GZMM	-1.14	2.1	2.46e-34
0	Immune cells	Mono/Macro	Monocyte	GSTP1	0.69	86.8	2.92e-34
0	Immune cells	Mono/Macro	Monocyte	GZMA	-1.64	6.4	2.97e-34
0	Immune cells	Mono/Macro	Monocyte	CST7	-1.52	6.8	5.37e-34
0	Immune cells	Mono/Macro	Monocyte	RPS4X	-0.53	96.8	6.31e-34
0	Immune cells	Mono/Macro	Monocyte	RPS2	-0.43	99.6	8.39e-34
0	Immune cells	Mono/Macro	Monocyte	NCF2	0.8	56.2	8.41e-34
0	Immune cells	Mono/Macro	Monocyte	ISG20	-0.98	6.4	1.24e-33
0	Immune cells	Mono/Macro	Monocyte	RPL41	-0.35	100.0	1.27e-33
0	Immune cells	Mono/Macro	Monocyte	RPL31	-0.53	95.7	1.35e-33
0	Immune cells	Mono/Macro	Monocyte	SERF2	0.44	100.0	1.35e-33
0	Immune cells	Mono/Macro	Monocyte	THBS1	0.87	48.4	1.67e-33
0	Immune cells	Mono/Macro	Monocyte	RPS5	-0.63	92.2	2.48e-33
0	Immune cells	Mono/Macro	Monocyte	COTL1	0.57	94.3	3.04e-33
0	Immune cells	Mono/Macro	Monocyte	RNF130	0.77	59.4	3.61e-33
0	Immune cells	Mono/Macro	Monocyte	C4orf48	0.74	73.7	4.55e-33
0	Immune cells	Mono/Macro	Monocyte	MEGF9	0.75	49.1	1.75e-32
0	Immune cells	Mono/Macro	Monocyte	RPL27A	-0.42	98.9	2.16e-32
0	Immune cells	Mono/Macro	Monocyte	IRAK3	0.76	48.0	2.42e-32
0	Immune cells	Mono/Macro	Monocyte	AGTRAP	0.84	57.3	6.66e-32
0	Immune cells	Mono/Macro	Monocyte	SDCBP	0.74	73.3	7.75e-32
0	Immune cells	Mono/Macro	Monocyte	HLA-A	-0.71	93.6	8.39e-32
0	Immune cells	Mono/Macro	Monocyte	TALDO1	0.7	73.7	1.1e-31
0	Immune cells	Mono/Macro	Monocyte	RPL5	-0.55	91.5	1.33e-31
0	Immune cells	Mono/Macro	Monocyte	AMICA1	0.8	58.0	1.56e-31
0	Immune cells	Mono/Macro	Monocyte	PYCARD	0.67	79.7	1.69e-31
0	Immune cells	Mono/Macro	Monocyte	ALDH2	0.8	44.8	2.06e-31
0	Immune cells	Mono/Macro	Monocyte	SRGN	0.53	96.1	3.84e-31
0	Immune cells	Mono/Macro	Monocyte	CD302	0.8	51.2	5.94e-31
0	Immune cells	Mono/Macro	Monocyte	EVI2B	0.67	85.1	1e-30
0	Immune cells	Mono/Macro	Monocyte	ALDOA	0.62	86.8	1.3e-30
0	Immune cells	Mono/Macro	Monocyte	BLVRB	0.79	61.9	1.86e-30
0	Immune cells	Mono/Macro	Monocyte	CLEC12A	0.77	46.6	2.83e-30
0	Immune cells	Mono/Macro	Monocyte	RPL13A	-0.34	100.0	3.52e-30
0	Immune cells	Mono/Macro	Monocyte	CD93	0.83	49.8	4.22e-30
0	Immune cells	Mono/Macro	Monocyte	SERPINB1	0.77	73.0	7.15e-30
0	Immune cells	Mono/Macro	Monocyte	LCK	-0.96	4.6	1.08e-29
0	Immune cells	Mono/Macro	Monocyte	CD7	-1.23	6.0	1.09e-29
0	Immune cells	Mono/Macro	Monocyte	LTB	-1.51	13.5	1.12e-29
0	Immune cells	Mono/Macro	Monocyte	NDUFB1	0.63	84.0	1.3e-29
0	Immune cells	Mono/Macro	Monocyte	CLEC7A	0.69	57.3	1.38e-29
0	Immune cells	Mono/Macro	Monocyte	SLC11A1	0.73	53.0	2.9e-29
0	Immune cells	Mono/Macro	Monocyte	IL2RG	-0.85	7.1	4.46e-29
0	Immune cells	Mono/Macro	Monocyte	TMEM176A	0.76	47.3	4.62e-29
0	Immune cells	Mono/Macro	Monocyte	GABARAP	0.69	74.4	2.52e-28
0	Immune cells	Mono/Macro	Monocyte	C12orf57	-0.82	13.9	2.54e-28
0	Immune cells	Mono/Macro	Monocyte	BST1	0.64	33.1	4.05e-28
0	Immune cells	Mono/Macro	Monocyte	ATP5G2	0.5	93.2	4.78e-28
0	Immune cells	Mono/Macro	Monocyte	CNPY3	0.7	65.5	5.98e-28
0	Immune cells	Mono/Macro	Monocyte	GLTSCR2	-0.68	63.0	7.73e-28
0	Immune cells	Mono/Macro	Monocyte	HLA-C	-0.61	93.2	1e-27
0	Immune cells	Mono/Macro	Monocyte	MT-CO1	0.3	100.0	1.02e-27
0	Immune cells	Mono/Macro	Monocyte	RPS24	0.3	100.0	1.13e-27
0	Immune cells	Mono/Macro	Monocyte	CD3G	-0.98	2.8	1.3e-27
0	Immune cells	Mono/Macro	Monocyte	GZMH	-1.63	8.2	2.05e-27
0	Immune cells	Mono/Macro	Monocyte	AES	-0.86	19.2	2.57e-27
0	Immune cells	Mono/Macro	Monocyte	RPL30	-0.41	98.9	2.57e-27
0	Immune cells	Mono/Macro	Monocyte	NPC2	0.55	78.3	8.42e-27
0	Immune cells	Mono/Macro	Monocyte	RPL15	-0.39	97.5	9.55e-27
0	Immune cells	Mono/Macro	Monocyte	RETN	0.76	32.4	1.1e-26
0	Immune cells	Mono/Macro	Monocyte	LRRK2	0.71	44.5	1.17e-26
0	Immune cells	Mono/Macro	Monocyte	PRF1	-1.37	2.8	2.21e-26
0	Immune cells	Mono/Macro	Monocyte	RPS6	-0.41	99.6	2.29e-26
0	Immune cells	Mono/Macro	Monocyte	METTL9	0.71	68.0	5.4e-26
0	Immune cells	Mono/Macro	Monocyte	ASAH1	0.67	65.8	5.95e-26
0	Immune cells	Mono/Macro	Monocyte	CD68	0.65	51.2	6.75e-26
0	Immune cells	Mono/Macro	Monocyte	ZFP36L2	-0.74	54.8	1.02e-25
0	Immune cells	Mono/Macro	Monocyte	C19orf38	0.72	40.9	1.33e-25
0	Immune cells	Mono/Macro	Monocyte	MT-ND1	0.33	99.6	1.87e-25
0	Immune cells	Mono/Macro	Monocyte	ACAP1	-0.81	14.9	1.97e-25
0	Immune cells	Mono/Macro	Monocyte	LY6E	-0.77	19.9	2.84e-25
0	Immune cells	Mono/Macro	Monocyte	NEAT1	0.55	93.2	3.28e-25
0	Immune cells	Mono/Macro	Monocyte	CRISPLD2	0.68	29.9	3.37e-25
0	Immune cells	Mono/Macro	Monocyte	OSCAR	0.7	36.7	4.74e-25
0	Immune cells	Mono/Macro	Monocyte	AP2S1	0.62	74.0	5.99e-25
0	Immune cells	Mono/Macro	Monocyte	RPL6	-0.39	95.4	6.1e-25
0	Immune cells	Mono/Macro	Monocyte	TCEB2	0.58	88.3	1.45e-24
0	Immune cells	Mono/Macro	Monocyte	CEBPB	0.65	68.0	1.66e-24
0	Immune cells	Mono/Macro	Monocyte	MT-CO2	0.26	100.0	1.8e-24
0	Immune cells	Mono/Macro	Monocyte	ASGR1	0.71	39.1	2.3e-24
0	Immune cells	Mono/Macro	Monocyte	FKBP1A	0.52	82.9	3.28e-24
0	Immune cells	Mono/Macro	Monocyte	KLRD1	-1.21	2.1	3.99e-24
0	Immune cells	Mono/Macro	Monocyte	MYL12A	-0.62	75.4	5.33e-24
0	Immune cells	Mono/Macro	Monocyte	RP11-290F20.3	0.65	42.3	6.28e-24
0	Immune cells	Mono/Macro	Monocyte	BRI3	0.7	56.2	7.3e-24
0	Immune cells	Mono/Macro	Monocyte	IL7R	-1.33	1.8	7.37e-24
0	Immune cells	Mono/Macro	Monocyte	MARCH1	0.62	56.2	1.05e-23
0	Immune cells	Mono/Macro	Monocyte	FCGR2A	0.68	42.3	1.25e-23
0	Immune cells	Mono/Macro	Monocyte	BTG1	-0.61	81.1	1.33e-23
0	Immune cells	Mono/Macro	Monocyte	RTN3	0.74	53.0	1.43e-23
0	Immune cells	Mono/Macro	Monocyte	PFDN5	0.4	96.8	1.44e-23
0	Immune cells	Mono/Macro	Monocyte	IFI30	0.61	49.1	2.46e-23
0	Immune cells	Mono/Macro	Monocyte	RPS26	-0.35	98.6	2.99e-23
0	Immune cells	Mono/Macro	Monocyte	CCL4	-1.34	3.9	2.99e-23
0	Immune cells	Mono/Macro	Monocyte	RPS15A	-0.27	100.0	4.44e-23
0	Immune cells	Mono/Macro	Monocyte	RPL7A	-0.39	96.1	1.13e-22
0	Immune cells	Mono/Macro	Monocyte	ITGAM	0.72	44.5	1.65e-22
0	Immune cells	Mono/Macro	Monocyte	RPL4	-0.48	86.1	1.81e-22
0	Immune cells	Mono/Macro	Monocyte	C12orf75	-0.83	5.3	1.81e-22
0	Immune cells	Mono/Macro	Monocyte	RNF144B	0.65	32.7	3.27e-22
0	Immune cells	Mono/Macro	Monocyte	LDHB	-0.8	24.6	4.5e-22
0	Immune cells	Mono/Macro	Monocyte	PCSK7	-0.72	10.0	4.5e-22
0	Immune cells	Mono/Macro	Monocyte	RASSF2	0.62	40.9	4.71e-22
0	Immune cells	Mono/Macro	Monocyte	ACTB	0.27	100.0	7.69e-22
0	Immune cells	Mono/Macro	Monocyte	ATP6V1B2	0.6	53.0	8.58e-22
0	Immune cells	Mono/Macro	Monocyte	RPS23	-0.36	98.9	9.5e-22
0	Immune cells	Mono/Macro	Monocyte	HMGB2	0.67	70.1	1.1e-21
0	Immune cells	Mono/Macro	Monocyte	RPS10	-0.4	95.7	1.77e-21
0	Immune cells	Mono/Macro	Monocyte	RPS21	-0.39	97.9	2.48e-21
0	Immune cells	Mono/Macro	Monocyte	SLC7A7	0.58	46.6	3.42e-21
0	Immune cells	Mono/Macro	Monocyte	LITAF	-0.72	12.8	3.45e-21
0	Immune cells	Mono/Macro	Monocyte	TIMP2	0.64	36.3	3.55e-21
0	Immune cells	Mono/Macro	Monocyte	PGLS	0.6	71.9	4.36e-21
0	Immune cells	Mono/Macro	Monocyte	FBXL5	0.66	46.6	4.9e-21
0	Immune cells	Mono/Macro	Monocyte	ARL4C	-0.74	2.8	7.03e-21
0	Immune cells	Mono/Macro	Monocyte	C19orf59	0.56	24.9	8.21e-21
0	Immune cells	Mono/Macro	Monocyte	CD247	-0.9	3.2	1.03e-20
0	Immune cells	Mono/Macro	Monocyte	RPS20	-0.38	97.9	1.08e-20
0	Immune cells	Mono/Macro	Monocyte	RAB31	0.59	43.8	1.1e-20
0	Immune cells	Mono/Macro	Monocyte	EVI2A	0.63	63.3	1.1e-20
0	Immune cells	Mono/Macro	Monocyte	RAC1	0.54	76.2	1.61e-20
0	Immune cells	Mono/Macro	Monocyte	CMC1	-1.54	6.8	2.5e-20
0	Immune cells	Mono/Macro	Monocyte	GLRX	0.6	64.4	3.73e-20
0	Immune cells	Mono/Macro	Monocyte	HOPX	-0.99	2.5	3.96e-20
0	Immune cells	Mono/Macro	Monocyte	LAT	-0.7	3.9	5e-20
0	Immune cells	Mono/Macro	Monocyte	NAMPT	0.7	40.2	5.39e-20
0	Immune cells	Mono/Macro	Monocyte	BIN1	-0.7	5.0	5.98e-20
0	Immune cells	Mono/Macro	Monocyte	S100A10	0.51	87.5	6.68e-20
0	Immune cells	Mono/Macro	Monocyte	TBC1D10C	-0.68	8.9	7.96e-20
0	Immune cells	Mono/Macro	Monocyte	CREB5	0.64	32.4	1.03e-19
0	Immune cells	Mono/Macro	Monocyte	RNASE2	0.59	23.5	1.15e-19
0	Immune cells	Mono/Macro	Monocyte	KCNE3	0.64	35.9	1.16e-19
0	Immune cells	Mono/Macro	Monocyte	CAPG	0.6	40.2	1.48e-19
0	Immune cells	Mono/Macro	Monocyte	RPL19	-0.31	98.6	2.09e-19
0	Immune cells	Mono/Macro	Monocyte	LINC00861	-0.7	2.5	2.36e-19
0	Immune cells	Mono/Macro	Monocyte	LILRA5	0.58	35.2	2.47e-19
0	Immune cells	Mono/Macro	Monocyte	CHST12	-0.71	2.5	2.68e-19
0	Immune cells	Mono/Macro	Monocyte	ETS1	-0.68	1.8	2.75e-19
0	Immune cells	Mono/Macro	Monocyte	RNASE6	0.55	46.6	2.98e-19
0	Immune cells	Mono/Macro	Monocyte	TMEM167A	0.65	52.3	3.11e-19
0	Immune cells	Mono/Macro	Monocyte	SEPT6	-0.63	9.3	3.11e-19
0	Immune cells	Mono/Macro	Monocyte	EEF1B2	-0.56	79.7	3.11e-19
0	Immune cells	Mono/Macro	Monocyte	LAMTOR4	0.58	78.6	3.56e-19
0	Immune cells	Mono/Macro	Monocyte	RARRES3	-0.72	23.8	4.24e-19
0	Immune cells	Mono/Macro	Monocyte	RHOH	-0.63	1.1	4.36e-19
0	Immune cells	Mono/Macro	Monocyte	NAIP	0.6	32.7	5.27e-19
0	Immune cells	Mono/Macro	Monocyte	AC092580.4	-0.83	1.4	8.64e-19
0	Immune cells	Mono/Macro	Monocyte	ARPC1B	0.45	88.3	9.93e-19
0	Immune cells	Mono/Macro	Monocyte	LY96	0.61	40.2	9.95e-19
0	Immune cells	Mono/Macro	Monocyte	MT-ND4	0.26	100.0	1.1e-18
0	Immune cells	Mono/Macro	Monocyte	TRAF3IP3	-0.63	23.8	1.11e-18
0	Immune cells	Mono/Macro	Monocyte	LBH	-0.67	2.1	1.17e-18
0	Immune cells	Mono/Macro	Monocyte	STK17A	-0.63	3.9	1.28e-18
0	Immune cells	Mono/Macro	Monocyte	MCL1	0.56	70.1	1.77e-18
0	Immune cells	Mono/Macro	Monocyte	ACSL1	0.64	32.7	1.77e-18
0	Immune cells	Mono/Macro	Monocyte	CD8A	-1.06	4.3	2.33e-18
0	Immune cells	Mono/Macro	Monocyte	H2AFY	0.58	63.0	2.49e-18
0	Immune cells	Mono/Macro	Monocyte	VMP1	0.62	58.0	2.86e-18
0	Immune cells	Mono/Macro	Monocyte	PPT1	0.65	54.4	2.88e-18
0	Immune cells	Mono/Macro	Monocyte	TLR2	0.53	33.8	3.7e-18
0	Immune cells	Mono/Macro	Monocyte	HLA-E	-0.46	85.8	3.9e-18
0	Immune cells	Mono/Macro	Monocyte	KLRG1	-0.88	1.8	3.97e-18
0	Immune cells	Mono/Macro	Monocyte	IRS2	0.57	35.6	4.11e-18
0	Immune cells	Mono/Macro	Monocyte	DMXL2	0.6	31.3	4.28e-18
0	Immune cells	Mono/Macro	Monocyte	MXD1	0.55	29.5	4.51e-18
0	Immune cells	Mono/Macro	Monocyte	CD44	0.55	77.2	6.43e-18
0	Immune cells	Mono/Macro	Monocyte	CEBPD	0.51	54.8	8.22e-18
0	Immune cells	Mono/Macro	Monocyte	HNRNPA1	-0.43	78.3	8.33e-18
0	Immune cells	Mono/Macro	Monocyte	LYAR	-0.7	7.5	8.67e-18
0	Immune cells	Mono/Macro	Monocyte	PATL2	-0.79	2.8	1.19e-17
0	Immune cells	Mono/Macro	Monocyte	SOD1	-0.57	22.8	2.18e-17
0	Immune cells	Mono/Macro	Monocyte	HMGN1	-0.56	31.7	3.09e-17
0	Immune cells	Mono/Macro	Monocyte	ANPEP	0.49	20.3	3.61e-17
0	Immune cells	Mono/Macro	Monocyte	GYPC	-0.57	15.3	3.85e-17
0	Immune cells	Mono/Macro	Monocyte	SULT1A1	0.55	29.9	4.15e-17
0	Immune cells	Mono/Macro	Monocyte	FUS	-0.56	27.4	4.79e-17
0	Immune cells	Mono/Macro	Monocyte	UBB	-0.62	60.5	4.85e-17
0	Immune cells	Mono/Macro	Monocyte	SCPEP1	0.58	43.4	7.72e-17
0	Immune cells	Mono/Macro	Monocyte	AGFG1	0.58	29.9	8.77e-17
0	Immune cells	Mono/Macro	Monocyte	CLEC4A	0.58	39.9	1.2e-16
0	Immune cells	Mono/Macro	Monocyte	RORA	-0.61	1.1	1.3e-16
0	Immune cells	Mono/Macro	Monocyte	FCGRT	0.58	45.6	2e-16
0	Immune cells	Mono/Macro	Monocyte	CES1	0.5	26.7	2.04e-16
0	Immune cells	Mono/Macro	Monocyte	RPS7	-0.3	97.5	2.11e-16
0	Immune cells	Mono/Macro	Monocyte	RPL14	-0.33	97.2	2.43e-16
0	Immune cells	Mono/Macro	Monocyte	FGR	0.53	61.6	2.64e-16
0	Immune cells	Mono/Macro	Monocyte	NPM1	-0.52	61.2	3.33e-16
0	Immune cells	Mono/Macro	Monocyte	TGFBI	0.55	39.1	3.6e-16
0	Immune cells	Mono/Macro	Monocyte	VSTM1	0.4	20.3	3.73e-16
0	Immune cells	Mono/Macro	Monocyte	S100P	0.5	14.9	4.62e-16
0	Immune cells	Mono/Macro	Monocyte	RXRA	0.53	34.2	4.86e-16
0	Immune cells	Mono/Macro	Monocyte	C10orf54	0.5	68.7	6.03e-16
0	Immune cells	Mono/Macro	Monocyte	ARPC3	0.42	86.8	6.73e-16
0	Immune cells	Mono/Macro	Monocyte	DDIT4	-0.63	11.4	7.73e-16
0	Immune cells	Mono/Macro	Monocyte	PYHIN1	-0.63	1.4	8.8e-16
0	Immune cells	Mono/Macro	Monocyte	SOD2	0.56	47.7	9.66e-16
0	Immune cells	Mono/Macro	Monocyte	RPL9	-0.32	98.9	9.87e-16
0	Immune cells	Mono/Macro	Monocyte	PRAM1	0.63	31.7	1.22e-15
0	Immune cells	Mono/Macro	Monocyte	SYNE2	-0.6	1.1	1.36e-15
0	Immune cells	Mono/Macro	Monocyte	SAMD3	-0.61	0.4	1.67e-15
0	Immune cells	Mono/Macro	Monocyte	OPTN	-0.53	0.7	1.67e-15
0	Immune cells	Mono/Macro	Monocyte	FGFBP2	-1.44	3.6	1.87e-15
0	Immune cells	Mono/Macro	Monocyte	FPR2	0.52	21.0	1.93e-15
0	Immune cells	Mono/Macro	Monocyte	KIF13A	0.38	17.8	2.26e-15
0	Immune cells	Mono/Macro	Monocyte	PIK3IP1	-0.57	3.6	2.42e-15
0	Immune cells	Mono/Macro	Monocyte	RPLP0	-0.4	81.9	3.14e-15
0	Immune cells	Mono/Macro	Monocyte	GLIPR1	0.53	60.5	3.45e-15
0	Immune cells	Mono/Macro	Monocyte	SKAP1	-0.55	0.7	3.72e-15
0	Immune cells	Mono/Macro	Monocyte	RHOC	-0.6	3.6	4.11e-15
0	Immune cells	Mono/Macro	Monocyte	APOBEC3G	-0.57	7.1	4.37e-15
0	Immune cells	Mono/Macro	Monocyte	CD8B	-0.99	3.9	4.44e-15
0	Immune cells	Mono/Macro	Monocyte	MEF2C	0.57	44.5	5.44e-15
0	Immune cells	Mono/Macro	Monocyte	SPOCK2	-0.54	0.4	6.69e-15
0	Immune cells	Mono/Macro	Monocyte	VNN2	0.59	30.6	6.74e-15
0	Immune cells	Mono/Macro	Monocyte	AQP9	0.52	21.0	6.74e-15
0	Immune cells	Mono/Macro	Monocyte	GIMAP7	-0.59	27.8	7.07e-15
0	Immune cells	Mono/Macro	Monocyte	MATK	-0.65	1.4	7.97e-15
0	Immune cells	Mono/Macro	Monocyte	DUSP6	0.6	41.3	9.09e-15
0	Immune cells	Mono/Macro	Monocyte	ZAP70	-0.54	0.4	9.18e-15
0	Immune cells	Mono/Macro	Monocyte	ANXA1	0.48	72.2	9.77e-15
0	Immune cells	Mono/Macro	Monocyte	GZMK	-1.12	4.6	9.77e-15
0	Immune cells	Mono/Macro	Monocyte	IRF1	-0.53	17.8	1.01e-14
0	Immune cells	Mono/Macro	Monocyte	BLOC1S1	0.48	70.1	1.08e-14
0	Immune cells	Mono/Macro	Monocyte	FAM198B	0.5	26.3	1.35e-14
0	Immune cells	Mono/Macro	Monocyte	CKAP4	0.53	25.3	1.35e-14
0	Immune cells	Mono/Macro	Monocyte	ATP6V1A	0.53	34.5	1.37e-14
0	Immune cells	Mono/Macro	Monocyte	RP11-356C4.3	-0.57	13.9	1.47e-14
